,kz_2021,year,population_size
0,01001,2005,86080.0
1,01001,2006,86630.0
2,01001,2007,87792.0
3,01001,2008,88718.0
4,01001,2009,88502.0
5,01001,2010,88759.0
6,01001,2011,82801.0
7,01001,2012,83462.0
8,01001,2013,83971.0
9,01001,2014,84694.0
10,01001,2015,85942.0
11,01001,2016,87432.0
12,01001,2017,88519.0
13,01001,2018,89504.0
14,01001,2019,90164.0
15,01001,2020,89934.0
16,01001,2021,91113.0
17,01001,2022,92550.0
18,01001,2023,92667.0
19,01002,2005,234433.0
20,01002,2006,235366.0
21,01002,2007,236902.0
22,01002,2008,237579.0
23,01002,2009,238281.0
24,01002,2010,239526.0
25,01002,2011,237667.0
26,01002,2012,239866.0
27,01002,2013,241533.0
28,01002,2014,243148.0
29,01002,2015,246306.0
30,01002,2016,247441.0
31,01002,2017,247943.0
32,01002,2018,247548.0
33,01002,2019,246794.0
34,01002,2020,246601.0
35,01002,2021,246243.0
36,01002,2022,247717.0
37,01002,2023,248873.0
38,01003,2005,211825.0
39,01003,2006,211213.0
40,01003,2007,211541.0
41,01003,2008,210892.0
42,01003,2009,209818.0
43,01003,2010,210232.0
44,01003,2011,210679.0
45,01003,2012,211713.0
46,01003,2013,212958.0
47,01003,2014,214420.0
48,01003,2015,216253.0
49,01003,2016,216712.0
50,01003,2017,216318.0
51,01003,2018,217198.0
52,01003,2019,216530.0
53,01003,2020,215846.0
54,01003,2021,216277.0
55,01003,2022,218095.0
56,01003,2023,219044.0
57,01004,2005,78072.0
58,01004,2006,77936.0
59,01004,2007,77595.0
60,01004,2008,77100.0
61,01004,2009,76897.0
62,01004,2010,76830.0
63,01004,2011,77201.0
64,01004,2012,76951.0
65,01004,2013,77058.0
66,01004,2014,77588.0
67,01004,2015,79197.0
68,01004,2016,79680.0
69,01004,2017,79335.0
70,01004,2018,79487.0
71,01004,2019,80196.0
72,01004,2020,79905.0
73,01004,2021,79496.0
74,01004,2022,79502.0
75,01004,2023,80185.0
76,01051,2005,137261.0
77,01051,2006,136829.0
78,01051,2007,136451.0
79,01051,2008,135759.0
80,01051,2009,135279.0
81,01051,2010,134798.0
82,01051,2011,133487.0
83,01051,2012,132965.0
84,01051,2013,132665.0
85,01051,2014,132685.0
86,01051,2015,132917.0
87,01051,2016,133560.0
88,01051,2017,133447.0
89,01051,2018,133210.0
90,01051,2019,133193.0
91,01051,2020,133251.0
92,01051,2021,133969.0
93,01051,2022,135252.0
94,01051,2023,135653.0
95,01053,2005,186471.0
96,01053,2006,186911.0
97,01053,2007,187094.0
98,01053,2008,186984.0
99,01053,2009,186629.0
100,01053,2010,186874.0
101,01053,2011,187296.0
102,01053,2012,187905.0
103,01053,2013,189043.0
104,01053,2014,190703.0
105,01053,2015,192999.0
106,01053,2016,195063.0
107,01053,2017,196074.0
108,01053,2018,197264.0
109,01053,2019,198019.0
110,01053,2020,199152.0
111,01053,2021,200819.0
112,01053,2022,203712.0
113,01053,2023,204836.0
114,01054,2005,166956.0
115,01054,2006,166783.0
116,01054,2007,166727.0
117,01054,2008,166270.0
118,01054,2009,165771.0
119,01054,2010,165480.0
120,01054,2011,163029.0
121,01054,2012,162237.0
122,01054,2013,161923.0
123,01054,2014,162203.0
124,01054,2015,163960.0
125,01054,2016,164926.0
126,01054,2017,165462.0
127,01054,2018,165507.0
128,01054,2019,165951.0
129,01054,2020,167147.0
130,01054,2021,167560.0
131,01054,2022,169043.0
132,01054,2023,170007.0
133,01055,2005,206040.0
134,01055,2006,205952.0
135,01055,2007,205688.0
136,01055,2008,205191.0
137,01055,2009,204948.0
138,01055,2010,204454.0
139,01055,2011,197960.0
140,01055,2012,197882.0
141,01055,2013,197835.0
142,01055,2014,198355.0
143,01055,2015,199574.0
144,01055,2016,200813.0
145,01055,2017,200584.0
146,01055,2018,200581.0
147,01055,2019,200539.0
148,01055,2020,201487.0
149,01055,2021,202014.0
150,01055,2022,203606.0
151,01055,2023,204275.0
152,01056,2005,299392.0
153,01056,2006,300402.0
154,01056,2007,301320.0
155,01056,2008,301518.0
156,01056,2009,302430.0
157,01056,2010,303481.0
158,01056,2011,297307.0
159,01056,2012,298826.0
160,01056,2013,301223.0
161,01056,2014,304087.0
162,01056,2015,307471.0
163,01056,2016,310653.0
164,01056,2017,312662.0
165,01056,2018,314391.0
166,01056,2019,316103.0
167,01056,2020,317085.0
168,01056,2021,318326.0
169,01056,2022,322130.0
170,01056,2023,324018.0
171,01057,2005,135655.0
172,01057,2006,135562.0
173,01057,2007,135422.0
174,01057,2008,134912.0
175,01057,2009,134573.0
176,01057,2010,134291.0
177,01057,2011,127212.0
178,01057,2012,126721.0
179,01057,2013,126643.0
180,01057,2014,126865.0
181,01057,2015,128304.0
182,01057,2016,128703.0
183,01057,2017,128842.0
184,01057,2018,128647.0
185,01057,2019,128686.0
186,01057,2020,129353.0
187,01057,2021,129687.0
188,01057,2022,131266.0
189,01057,2023,131370.0
190,01058,2005,273039.0
191,01058,2006,272591.0
192,01058,2007,272488.0
193,01058,2008,271393.0
194,01058,2009,270626.0
195,01058,2010,269778.0
196,01058,2011,268846.0
197,01058,2012,268058.0
198,01058,2013,268075.0
199,01058,2014,268628.0
200,01058,2015,270378.0
201,01058,2016,272337.0
202,01058,2017,273022.0
203,01058,2018,272775.0
204,01058,2019,274098.0
205,01058,2020,274765.0
206,01058,2021,276053.0
207,01058,2022,278979.0
208,01058,2023,279864.0
209,01059,2005,199671.0
210,01059,2006,199264.0
211,01059,2007,199101.0
212,01059,2008,198649.0
213,01059,2009,198426.0
214,01059,2010,197903.0
215,01059,2011,195721.0
216,01059,2012,194911.0
217,01059,2013,195135.0
218,01059,2014,195593.0
219,01059,2015,196839.0
220,01059,2016,198685.0
221,01059,2017,199503.0
222,01059,2018,200025.0
223,01059,2019,201156.0
224,01059,2020,202647.0
225,01059,2021,203799.0
226,01059,2022,206038.0
227,01059,2023,206385.0
228,01060,2005,257002.0
229,01060,2006,257749.0
230,01060,2007,258336.0
231,01060,2008,257945.0
232,01060,2009,258150.0
233,01060,2010,259200.0
234,01060,2011,261141.0
235,01060,2012,261988.0
236,01060,2013,263202.0
237,01060,2014,264972.0
238,01060,2015,267503.0
239,01060,2016,272235.0
240,01060,2017,274025.0
241,01060,2018,276032.0
242,01060,2019,277175.0
243,01060,2020,278007.0
244,01060,2021,280400.0
245,01060,2022,284988.0
246,01060,2023,287175.0
247,01061,2005,136470.0
248,01061,2006,135834.0
249,01061,2007,134664.0
250,01061,2008,134090.0
251,01061,2009,133370.0
252,01061,2010,132897.0
253,01061,2011,130543.0
254,01061,2012,130135.0
255,01061,2013,130017.0
256,01061,2014,130218.0
257,01061,2015,131457.0
258,01061,2016,131875.0
259,01061,2017,131613.0
260,01061,2018,131347.0
261,01061,2019,131013.0
262,01061,2020,130706.0
263,01061,2021,130843.0
264,01061,2022,132419.0
265,01061,2023,133072.0
266,01062,2005,224583.0
267,01062,2006,225232.0
268,01062,2007,226252.0
269,01062,2008,227260.0
270,01062,2009,228327.0
271,01062,2010,229756.0
272,01062,2011,231376.0
273,01062,2012,232911.0
274,01062,2013,234674.0
275,01062,2014,236705.0
276,01062,2015,239614.0
277,01062,2016,241811.0
278,01062,2017,242472.0
279,01062,2018,243196.0
280,01062,2019,244156.0
281,01062,2020,244989.0
282,01062,2021,245406.0
283,01062,2022,247973.0
284,01062,2023,248267.0
